Joke_Id,Text,Type 1,Type 2,Type 3,Type 4,Type 5,Score
67,"  A Joke    A man piloting a hot air balloon discovers he has wandered off course andis hopelessly lost. He descends to a lower altitude and locates a mandown on the ground. He lowers the balloon further and shouts ""Excuse me,can you tell me where I am?""The man below says: ""Yes, you're in a hot air balloon, about 30 feetabove this field.""""You must work in Information Technology,"" says the balloonist.""Yes I do,"" replies the man. ""And how did you know that?""""Well,"" says the balloonist, ""what you told me is technically correct,but of no use to anyone.""The man below says, ""You must work in management.""""I do,"" replies the balloonist, ""how did you know?""""Well,"" says the man, ""you don't know where you are, or where you'regoing, but you expect my immediate help. You're in the same position youwere before we met, but now it's my fault!""",situational,jobs,insult,,,2.82
68,"  A Joke    This guys wife asks, ""Honey if I died would you remarry?"" and he replies,""Well, after a considerable period of grieving, we all needcompanionship, I guess I would.""She then asks, ""If I died and you remarried, would she live in thishouse?"" and he replies, ""We've spent a lot of time and money getting thishouse just the way we want it. I'm not going to get rid of my house, Iguess she would.""""If I died and you remarried, and she lived in this house, would shesleep in our bed?"" and he says, ""That bed is brand new, we just paid twothousand dollars for it, it's going to last a long time, I guess shewould.""So she asks, ""If I died and you remarried, and she lived in this house,and slept in our bed, would she use my golf clubs?""""Oh no, she's left handed.""",situational,irony,relationship,,,2.82
53,"  A Joke    The Pope dies and, naturally, goes to heaven. He's met by the receptioncommittee, and after a whirlwind tour he is told that he can enjoy anyof the myriad of recreations available.He decides that he wants to read all of the ancient original text of theHoly Scriptures, so he spends the next eon or so learning languages.After becoming a linguistic master, he sits down in the library andbegins to pour over every version of the Bible, working back from mostrecent ""Easy Reading"" to the original script.All of a sudden there is a scream in the library. The Angels comerunning in only to find the Pope huddled in his chair, crying to himselfand muttering, ""An 'R'! The scribes left out the 'R'."" A particularly concerned Angel takes him aside, offering comfort, askshim what the problem is and what does he mean. After collecting hiswits, the Pope sobs again, ""It's the letter 'R'. They left out the 'R'.The word was supposed to be CELEBRATE!""",situational,religion,,,,2.7373332582495427
71,"  A Joke  On the first day of college, the Dean addressed the students,pointing out some of the rules:""The female dormitory will be out-of-bounds for all male studentsand the male dormitory to the female students. Anybody caught breakingthis rule will be finded $20 the first time."" He continued, ""Anybody caught breaking this rule the second time will be fined $60. Being caughta third time will cost you a fine of $180. Are there any questions ?""At this point, a male student in the crowd inquired:""How much for a season pass ?""",situational,irony,men,,,2.6068142435095796
64,"  A Joke    Two Rednecks were seated at the end of a bar when a young ladyseated a few stools up began to choke on a piece of hamburger.  She wasturning blue and obviously in serious respiratory distress.One said to the other, ""That gal there is having a bad time!"" The other agreed and said ""Think we should go help?""  ""You bet,"" said thefirst,and with that, he ran over and said, ""Can you breathe??""  She shookher head no.  He said, ""Can you speak??""  She again shook her head no.With that, he pulled up her skirt and licked her on the butt.She was so shocked, she coughed up the obstruction and began tobreathe-with great relief.The redneck walked back to hisfriend and said, ""Funny how that hind lick maneuver always works.""",situational,language,redneck,,,2.5803273251633576
60,"  A Joke    During a recent publicity outing, Hillary sneaked off to visit afortune teller of some local repute.  In a dark and hazy room, peeringinto a crystal ball, the mystic delivered grave news.""There's no easy way to say this, so I'll just be blunt: Prepareyourself to be a widow.  Your husband will die a violent and horribledeath this year.""Visibly shaken, Hillary stared at the woman's lined face, then at the single flickering candle, then down at her hands.  She took a few deep breaths to compose herself.  She simply had to know.  She met thefortune teller's gaze, steadied her voice, and asked her question.""Will I be acquitted?""",situational,crime,america,politics,,2.48
75,"  A Joke  There once was a man and a woman that both  got in  a terrible car wreck. Both of their vehicles  were completely destroyed, buy fortunately, no one  was   hurt.  In thankfulness, the woman said to the man, 'We are both okay, so we should celebrate. I have   a  bottle of wine in my car, let's open it.'         So the woman got the bottleout of the car, and  handed it to the man. The man took a really big drink, and handed the woman the bottle. The  woman  closed the bottle and put it down. The man  asked,  'Aren't you going to take a drink?' The woman cleverly replied, 'No, I think I'll  just  wait for the cops to get here.'",situational,men,crime,,,2.4382923449444145
20," Joke 21   What's the difference between a used tire and 365 used condoms?One's a Goodyear, the other's a great year.",question,sex,,,,2.43
92,"  A Joke  Reaching the end of a job interview, the human resources person asked ayoung engineer fresh out of Stanford,""And what starting salary were you looking for?""The engineer said, ""In the neighborhood of $125,000 a year, dependingon the benefits package.""The interviewer said, ""Well, what would you say to a package of 5-weeks vacation, 14 paid holidays, full medical and dental, company matching retirement fund to 50% of salary, and a company car leased every 2 years - say, a red Corvette?""The Engineer sat up straight and said, ""Wow! Are you kidding?""And the interviewer replied, ""Yeah, but you started it.""",situational,jobs,irony,,,2.3908291625046147
30," Joke 31    President Clinton looks up from his desk in the Oval Office to see one of his aides nervously approach him.  ""What is it?"" exclaims the President. ""It's this Abortion Bill Mr. President, what do you want to do about it?"" the aide replies. ""Just go ahead and pay it."" responds the President. ",situational,politics,,,,2.3427917544663655
82,"  A Joke What a woman says:""This place is a mess!  C'mon,You and I need to clean up,Your stuff is lying on the floor andyou'll have no clothes to wear,if we don't do laundry right now!""What a man hears:blah, blah, blah, blah, C'monblah, blah, blah, blah, you and Iblah, blah, blah, blah, on the floorblah, blah, blah, blah, no clothesblah, blah, blah, blah, RIGHT NOW!",situational,men,sex,insult,,2.256857934722475
87,"  A Joke  A Czechoslovakian man felt his eyesight was growing steadily worse, and felt it was time to go see an optometrist. The doctor started with some simple testing, and showed him a standard eye chart with letters ofdiminishing size: CRKBNWXSKZY. . . ""Can you read this?"" the doctor asked. ""Read it?"" the Czech answered. ""Doc, I know him!""",situational,language,,,,2.2351438241500614
90,"  A Joke  A Panda bear walks into a bar.  Sits down at a table and orders a beer and a double cheeseburger.  After he is finished eating, he pulls out a gunand rips the place with gunfire.  Patrons scatter and dive under chairs andtables as the bear runs out the door.  After ensuring that no one is hurt, the bartender races out the door, and calls after the bear ""What the hell didyou do that for?""  The bear calls back, ""I'm a Panda bear.  Look it up in thedictionary.""  The bartender returns, pulls out his dictionary.panda : \Pan""da\, n. (Zo[""o]l.)A small Asiatic mammal (Ailurus fulgens) having fine soft fur.It is related to the bears, and inhabits the mountains of Northern India.Eats shoots and leaves.",situational,surreal,language,,,2.199205827574894
41,"  A Joke    Two men are discussing the age old question: who enjoys sex more, theman or the woman?  A woman walks by and listens in for awhile and theninterrupts: ""Listen you guys. You know when your ear itches and you put in your little finger and wiggle it around for awhile?  Afterward,which feels better, your finger or your ear?""",situational,sex,,,,2.170864281595344
86,"  A Joke  A man, recently completing a routine physical examination receives aphone call from his doctor.  The doctor says, ""I have some good news andsome bad news.""  The man says, ""OK, give me the good news first.""  Thedoctor says, ""The good news is, you have 24 hours to live.""  The manreplies, ""Shit!  That's the good news?  Then what's the bad news?""The doctor says, ""The bad news is, I forgot to call you yesterday.""",situational,disease,irony,,,2.1679393861552807
80,"  A Joke  An Asian man goes into a New York CityBank to exchange 10,000 yen forAmerican Currency.  The teller gives him $72.00.  The next month theAsian man goes into the same bank with 10,000 yen and receives $62.00.He asks, ""How come? Only $62.00?"" The teller says ""Fluctuations-Fluctuations!""Whereupon the Asian man looks back at the teller and says ""Fluk youAmelicans too!""",situational,language,insult,race,,2.144804066196037
55,"  A Joke    A man and Cindy Crawford get stranded on a desert island.  After a coupleof days they fall in love and start sleeping together.  Time pass theman seems frustrated, Cindy asks if there is anything she can do?  Hesays there is one thing, ""Could you put on this baseball cap and go tothe other side of the island and answer me when I call you Bob?""  Sheagrees.  Next day he is walking on the other side of the island, runsinto her and says ""Hi Bob!""  She says ""Hello, what's up?""  He replies: ""Bob you won't believe it: I've been sleeping with CindyCrawford for the past two weeks!!!!""",situational,sex,irony,,,2.093640970439399
47,"  A Joke    The graduate with a Science degree asks, ""Why does it work?""The graduate with an Engineering degree asks, ""How does it work?""The graduate with an Accounting degree Asks, ""How much will it cost?"" The graduate with a  Liberal Arts degree asks, ""Do you want fries with  that?""",situational,insult,jobs,,,2.085940357764269
77,  A Joke  Q: What's the difference between the government  and  the Mafia?A: One of them is organized.,question,politics,insult,,,2.080393311126514
10," Joke 11   Q. What do a hurricane, a tornado, and a redneckdivorce all have in common? A. Someone's going to lose their trailer...",question,redneck,relationship,,,2.0026354872761223
96,"  A Joke  A teacher is explaining to her class how different languages use negatives differently.  She says, ""In all languages, a positive followedby a negative or a negative followed by a positive makes a negative.  Insome languages, two negatives together make a positive, while in others theymake a negative.  But in no language do two positives make a negative.""  One of the students puts up his hand and says, ""Yeah, right.""",situational,language,irony,,,1.9724049454087154
11," Joke 12 of 20   A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance,figuring the wind direction and speed. Driving his partner nuts.Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!""The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot.""""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!"" ",situational,relationship,,,,1.9497118067663846
95,"  A Joke  Two attorneys went into a diner and ordered two drinks.  Then they produced sandwiches from their briefcases and started to eat.  The owner becamequite concerned and marched over and told them, ""You can't eat your ownsandwiches in here!""The attorneys looked at each other, shrugged their shoulders and thenexchanged sandwiches.",situational,language,,,,1.9127822146861586
46,"  A Joke    There was an engineer who had an exceptional gift for fixing all things mechanical.  After serving his company loyally for over 30 years, he happily retired.  Several years later the company contacted him regarding a seemingly impossible problem they were having with one of their multi-million dollar machines. They had tried everything and everyone else to get the machine fixed, but to no avail.  In desperation, they called on the retired engineer who had solved so many of their problems in the past.The engineer reluctantly took the challenge.  He spent a day studying the huge machine.  At the end of the day, he marked a small ""x"" in chalk on a particular component of the machine and proudly stated, ""This is where your problem is"".The part was replaced and the machine worked perfectly again. The company received a bill for $50,000 from the engineer for his service.They demanded an itemized accounting of his charges. The engineer responded briefly:One chalk mark                       $1 Knowing where to put it            $49,999It was paid in full and the engineer retired again in peace. ",situational,smart,,,,1.856889103888455
13," Joke 14   The father was very anxious to marry off his only daughter so he wanted to impress her date. ""Do  you like to screw,"" he says. ""Huh"" replied the surprised first date. ""My daughter she loves to screw and she's good at it, you and her  should go screw,"" carefully explained the father. Now very interested the boy replied, ""Yes, sir."" Minutes later the girl came down the stairs, kissed her father goodbye and the couple left. After only a few minutes she reappeared, furious, dress torn, hair a mess and screamed""Dammit, Daddy, it's the TWIST, get it straight!"" ",situational,sex,language,,,1.8445946918792588
45,"  A Joke    A couple has been married for 75 years. For the husband's 95thbirthday, his wife decides to surprise him by hiring a prostitute.That day, the doorbell rings. The husband uses his walker to get tothe door and opens it. A 21-year-old in a latex outfit smiles andsays, ""Hi, I here to give you super sex!"" The old man says, ""I'll take the soup.""",situational,disease,sex,,,1.8376233387537897
27," Joke 28   A mechanical, electrical and a software engineer from Microsoft weredriving through the desert when the car broke down. The mechanicalengineer said ""It seems to be a problem with the fuel injection system,why don't we pop the hood and I'll take a look at it."" To which theelectrical engineer replied, ""No I think it's just a loose ground wire,I'll get out and take a look."" Then, the Microsoft engineer jumps in.""No, no, no. If we just close up all the windows, get out, wait a fewminutes, get back in, and then reopen the windows everything will workfine.""",situational,technology,,,,1.8320753954958067
5," Joke 6   Bill & Hillary are on a trip back to Arkansas. They're almost out of gas, so Bill pulls into a service station on the outskirts oftown. The attendant runs out of the station to serve them when Hillary realizes it's an old boyfriend from high school. She andthe attendant chat as he gases up their car and cleans the windows. Then they all say good-bye. As Bill pulls the car onto the road, he turns to Hillary and says, 'Now aren't you glad you married me and not him ? You could'vebeen the wife of a grease monkey !' To which Hillary replied, 'No, Bill. If I would have married him, you'd be pumping gas and he would be the President !' ",situational,politics,,,,1.8184613237049487
91,"  A Joke  Early one morning a mother went to her sleeping son and woke him up.""Wake up, son.  It's time to go to school."" ""But why, Mama?  I don't want to go to school."" ""Give me two reasons why you don't want to go to school."" ""One, all the children hate me. Two, all the teachers hate me,"" ""Oh! that's no reason. Come on, you have to go to school,"" ""Give me two good reasons WHY I should go to school?""  ""One, you are fifty-two years old. Two, you are the principal of the school."" ",situational,irony,jobs,,,1.796346963972101
25," Joke 26   A guy walks into a bar and sits down next to an extremely gorgeous woman.  The first thing he notices about her though, are her pants.  They were skin-tight, high-waisted and had no obvious mechanism (zipper, buttons or velcro) for opening them.After several minutes of puzzling over how she got the pants up over her hips, he finally worked up the nerve to ask her.  ""Excuse me miss, but how do you get into your pants?""""Well,"" she replied, ""you can start by buying me a drink.""",situational,bar,sex,language,,1.7852013240021034
37," Joke 38   ""May I take your order?"" the waiter asked. ""Yes, how do you prepare your chickens?"" ""Nothing special sir,"" he replied. ""We just tell them straight outthat they're going to die.""",situational,language,,,,1.7736543058288996
99,  A Joke  Q: Whats the difference between greeting a Queen and greeting thePresident of the United  States?A: You only have to get on one knee to greet the queen.,question,sex,politics,america,,1.7701773962470384
93,"  A Joke  Two atoms are walking down the street when one atom says to the other ""Oh, my! I've lost an electron!""The second atom says""Are you sure""The first replies ""I'm positive!""",situational,smart,,,,1.7546386315002316
79,"  A Joke  Hillary, Bill Clinton and the Pope are sitting together on an airplane.Bill says ""I could throw one thousand dollar bill out of this plane andmake one person very happy.""Hillary says ""I could throw 10 hundred dollar bills out of the plane andmake 10 people very happy.""The Pope chips in and says ""I could throw Bill out of the airplane and make the whole country happy.""",situational,america,politics,insult,,1.7461499362463222
94,"  A Joke  Just a thought ..Before criticizing someone, walk a mile in their shoes.  Then when you do criticize them, you will be a mile away and have their shoes !",language,,,,,1.7265134540852969
72,"  A Joke  Q: What is the difference between George  Washington, Richard Nixon,and Bill Clinton?A: Washington couldn't tell a lie, Nixon couldn't   tell the truth, andClinton doesn't know the difference.",question,america,politics,,,1.7162180091433101
38, Joke 39   What is the difference between men and women:A woman wants one man to satisfy her every need.A man wants every woman to satisfy his one need.,question,sex,gender,,,1.6903165028523048
97,"  A Joke  Age and Womanhood1. Between the ages of 13 and 18 ...    She is like Africa, virgin and unexplored.2. Between the ages of 19 and 35 ...    She is like Asia, hot and exotic.3. Between the ages of 36 and 45 ...    She is like America, fully explored, breathtakingly beautiful,and free with her resources.4. Between the ages of 46 and 56 ...    She is like Europe, exhausted but still has points of interest.5. After 56 she is like Australia ...    Everybody knows it's down there, but who gives a damn?",sex,age,men,,,1.655535049093078
9," Joke 10 of 20   Two cannibals are eating a clown, one turns to other and says: ""Does this taste funny to you? ",situational,puns,,,,1.65
44,"  A Joke    A boy comes home from school and tells his mother that he got a partin the school play.  ""What part?"" the mother asked. ""I play a Jewishhusband,"" the boy replied.  ""Go back to school and tell your teacher that you want a speaking role!""",situational,insult,jew,,,1.6359523698547342
39," Joke 40   How many Irishmen does it take to change a lightbulb?Two, one to hold the lightbulb and the other to drink until the room spins. ",question,lightbulb,insult,,,1.5833079884830104
33," Joke 34   Out in the backwoods of some midwestern state, little Johnny arrivesat school an hour late.Teacher: ""Why are you so late, John?""Johny : ""My big brother got shot in the ass.""(the teacher corrects his speech)Teacher: ""Rectum.""Johnny : ""Wrecked him!? Hell, It damn near killed him!"" ",situational,language,,,,1.576757143693415
0," Joke 1 of 25 A man visits the doctor. The doctor says ""I have bad news for you.You havecancer and Alzheimer's disease"". The man replies ""Well,thank God I don't have cancer!""",situational,disease,,,,1.5611586509532553
76,  A Joke  If pro- is the opposite of con- then congress must be the oppositeof progress.,politics,insult,,,,1.55428116657926
21," Joke 22   A duck walks into a pharmacy and asks for a condom. The pharmacist says""Would you like me to stick that on your bill?""The duck says: ""What kind of duck do you think I am!""",situational,sex,pun,,,1.5389919125403555
84,  A Joke  Q: How many Presidents does it take to screw in a light bulb?A: It depends upon your definition of screwing a light bulb.,question,politics,,,,1.5378448843136217
81,"  A Joke  Q: How do you keep a computer programmer in the shower all day long?A: Give them a shampoo with a label that says""rinse, lather, repeat"".",question,technology,,,,1.5365272535926209
83,"  A Joke  Q: What is the difference between Mechanical Engineers and Civil Engineers? A: Mechanical Engineers build weapons, Civil Engineers build targets.",question,jobs,technology,,,1.4769716437688274
89,  A Joke  Q: How many programmers does it take to change a lightbulb?A: NONE!   That's a hardware problem....,question,lightbulb,jobs,,,1.3925140655520831
85,"  A Joke  A neutron walks into a bar and orders a drink.""How much do I owe you?"" the neutron asks.The bartender replies, ""for you, no charge.""",question,smart,,,,1.3242353330680374
69,"  A Joke    Employer to applicant: ""In this job we need someone who is responsible.""Applicant: ""I'm the one you want. On my last job, every time anythingwent wrong, they said I was responsible.""",situational,language,jobs,irony,,1.3167599747531664
24," Joke 25   Two kindergarten girls were talking outside: one said, ""Youwon't believe what I saw on the patio yesterday--a condom!""The second girl asked, ""What's a patio?""",situational,surreal,irony,sex,,1.2708932488910745
54,"  A Joke    A woman has twins, and gives them up for adoption.  One ofthem goes to a family in Egypt and is named ""Amal.""  The other goes toa  family in Spain; they name him ""Juan.""  Years later, Juan sends apicture of himself to his mom.  Upon receiving the picture, she tellsher husband that she wishes she also had a picture of Amal.  Her husband responds, ""But they are twins-if you've seen Juan, you'veseen   Amal.",situational,irony,,,,1.2500911749271912
2, Joke 3   Q. What's 200 feet long and has 4 teeth? A. The front row at a Willie Nelson Concert.,question,age,insult,,,1.1768344014276222
4," Joke 5   Q.	What's O. J. Simpson's Internet address? A.	Slash, slash, backslash, slash, slash, escape.",question,crime,,,,1.17
1," Joke 2 of 25   This couple had an excellent relationship going until one day he came homefrom work to find his girlfriend packing. He asked her why she was leaving himand she told him that she had heard awful things about him. ""What could they possibly have said to make you move out?"" ""They told me that you were a pedophile."" He replied, ""That's an awfully big word for a ten year old."" ",situational,irony,crime,relationship,,1.1688478434038216
98,  A Joke  A bus station is where a bus stops.A train station is where a train stops.On my desk I have a work station...,language,jobs,,,,1.1612738160641234
62,"  A Joke    An engineer, a physicist and a mathematician are sleeping in aroom. There is a fire in the room. The engineer wakes up, sees the fire,picks up the bucket of water and douses the fire and goes back tosleep. Again there is fire in the room. This time, the physicist wakesup, notices the bucket, fills it with water, calculates the optimaltrajectory and douses the fire in minimum amount of water and goesback to sleep. Again there is fire. This time the mathematician wakes up. He looks at the fire, looks at the bucket and the water andexclaims, ""A solution exists"" and goes back to sleep.",situational,jobs,,,,1.151168531253198
78,"  A Joke  Q: Ever wonder why the IRS calls it Form 1040?A: Because for every $50 that you earn, you get 10 and they get 40.",question,politics,insult,,,1.1448540793584132
22, Joke 23   Q: What is the Australian word for a boomerang that won't   come back? A: A stick,question,language,,,,1.118402555976151
74,  A Joke  Q: Do you know the difference between an intelligent male and theSasquatch?A: There have been actual reported sightings of the Sasquatch.,question,men,insult,,,0.9762331173266426
51,  A Joke    Q: What do Monica Lewinsky and Bob Dole have in common?A: They were both upset when Bill finished first.,question,america,sex,language,politics,0.962198573375834
18," Joke 19 of 20   Q: If a person who speaks three languages is called ""tri-lingual,"" anda person who speaks two languages is called ""bi-lingual,"" what do calla person who only speaks one language?A: American! ",question,language,america,,,0.83
40,"  A Joke    What does an atheist say during an orgasm?""Oh Darwin! Oh Darwin!...""",question,sex,religion,,,0.8006741139209345
29, Joke 30   Q: What's the difference between a Lawyer and a Plumber? A: A Plumber works to unclog the system.,question,insult,jobs,,,0.7733266975857584
59,  A Joke    What did the Buddhist say to the hot dog vendor?Make me one with everything.,question,religion,language,,,0.7676227699497546
8," Joke 9   A country guy goes into a city bar that has a dress code, and the maitred' demands he wear a tie. Discouraged, the guy goes to his car to sulk when inspiration strikes: He's got jumper cables in the trunk! So he wrapsthem around his neck, sort of like a string tie (a bulky string tie to besure) and returns to the bar. The maitre d' is reluctant, but says to theguy, ""Okay, you're a pretty resourceful fellow, you can come in... butjust don't start anything""!  ",situational,puns,,,,0.732509135693052
58,"  A Joke    The Chukcha (Russian Eskimo) phones up the Russian Parliament Building.  A guard answers. Chukcha:  ""What is required to become Parliament member?""Guard:  ""What are you, an idiot?""Chukcha:  ""Is it required?""",situational,language,politics,,,0.73
70,"  A Joke  At a recent Sacramento PC Users Group meeting,a company was demonstrating its latest speech-recognition software.   A representative from thecompany was just about ready to start thedemonstration and asked everyone in the roomto quiet down.Just then someone in the back of the room yelled,""Format C: Return.""Someone else chimed in:""Yes, Return""Unfortunately, the software worked.",situational,technology,,,,0.7092976967547056
63,  A Joke    What is the rallying cry of the International Dyslexic Pride movement?Dyslexics Untie!,question,disease,language,,,0.6174434050582801
50,  A Joke    Did you hear that Clinton has announced there is a new national bird?  The spread eagle.,question,america,sex,language,,0.5976996139916491
42,"  A Joke    Arnold Swartzeneger and Sylvester Stallone are making a movie aboutthe lives of the great composers.  Stallone says ""I want to be Mozart."" Swartzeneger says: ""In that case...  I'll be Bach.""",situational,movies,pun,,,0.5655441039931445
66,"  A Joke    Once upon a time, two brooms fell in love and decided to get married.Before the ceremony, the bride broom informed the groom broom that she was expecting a little whiskbroom. The groom broom was aghast!""How is this possible?"" he asked. ""We've never swept together!",situational,surreal,language,,,0.5273759115955574
73,"  A Joke  Q: How many stalkers does it take to change a light bulb?A: Two. One to replace the bulb, and the other to watch it day and night.",question,lightbulb,crime,,,0.38762678788056243
3, Joke 4   Q. What's the difference between a man and a toilet? A. A toilet doesn't follow you around after you use it.,question,gender,,,,0.3085657332250508
32," Joke 33   What do you call an American in the finals of the world cup?""Hey Beer Man!""",question,insult,america,,,0.27549212357659514
36," Joke 37   A Jewish young man was seeing a psychiatrist for an eating andsleeping disorder. ""I am so obsessed with my mother... As soon as I go to sleep, I startdreaming, and everyone in my dream turns into my mother. I wake up insuch a state, all I can do is go downstairs and eat a piece of toast.""The psychiatrist replies:""What, just one piece of toast, for a big boy like you?""",situational,irony,disease,,,0.24792421878610016
23, Joke 24   What do you get when you run over a parakeet with a lawnmower? Shredded tweet.,question,technology,pun,,,0.09944199628665751
56,  A Joke    Why are there so many Jones's in the phone book?Because they all have phones.,question,,,,,-0.03584641196335714
43,"  A Joke    A horse walks into a bar. Bartender says:""So, why the long face?""",situational,bar,language,,,-0.08539406526089943
6, Joke 7   How many feminists does it take to screw in a light bulb?That's not funny.,question,feminist,lightbulb,,,-0.29
16, Joke 17 of 20   How many men does it take to screw in a light bulb? One...men will screw anything. ,question,pun,sex,men,,-0.63
17," Joke 18   A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which hewrites down the telegram he wishes to send: ""Bow wow wow, Bow wow wow.""The clerk says, ""You can add another 'Bow wow' for the same price.""The dog responded, ""Now wouldn't that sound a little silly?"" ",situational,surreal,,,,-0.68
7, Joke 8   Q. Did you hear about the dyslexic devil worshiper? A. He sold his soul to Santa.,question,disease,,,,-0.68
