Text,Type 1,Type 2,Type 3,Type 4,Type 5,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Overall
" Joke 31    President Clinton looks up from his desk in the Oval Office to see one of his aides nervously approach him.  ""What is it?"" exclaims the President. ""It's this Abortion Bill Mr. President, what do you want to do about it?"" the aide replies. ""Just go ahead and pay it."" responds the President. ",situational,politics,,,,1.1940489383744115,2.342957271707745,0.9615072717077449,3.79,-1.4857427282922553,2.286557271707745
" Joke 32   A man arrives at the gates of heaven. St. Peter asks, ""Religion?"" The man says, ""Methodist."" St. Peter looks down his list, and says, ""Go to room 24, but be very quiet as you pass room 8."" Another man arrives at the gates of heaven. ""Religion?""""Baptist."" ""Go to room 18, but be very quiet as you pass room 8."" A third man arrives at the gates. ""Religion?"" ""Jewish.""""Go to room 11, but be very quiet as you pass room 8."" The man says, ""I can understand there being different rooms for different religions, but whymust I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8, and they think they're the only ones here.",situational,religion,,,,3.2,3.83,1.21,5.39,-0.7779006155031696,3.224709033619637
" Joke 33   What do you call an American in the finals of the world cup?""Hey Beer Man!""",question,insult,america,,,-2.43,0.27531229901519166,-0.7857881794537078,1.6321087902432618,-2.961727573393102,-0.048463004628533146
" Joke 34   Out in the backwoods of some midwestern state, little Johnny arrivesat school an hour late.Teacher: ""Why are you so late, John?""Johny : ""My big brother got shot in the ass.""(the teacher corrects his speech)Teacher: ""Rectum.""Johnny : ""Wrecked him!? Hell, It damn near killed him!"" ",situational,language,,,,-0.44,1.576366234602506,0.44,2.964125583409727,-1.75,1.392846032582304
" Joke 35   An explorer in the deepest Amazon suddenly finds himself surroundedby a bloodthirsty group of natives. Upon surveying the situation, hesays quietly to himself, ""Oh God, I'm screwed."" The sky darkens and a voice booms out, ""No, you are NOTscrewed. Pick up that stone at your feet and bash in the head of thechief standing in front of you."" So with the stone he bashes the life out of the chief. Standing abovethe lifeless body, breathing heavily looking at 100 angry natives... The voice booms out again, ""Okay ..... NOW you're screwed."" ",situational,irony,,,,3.11,3.74,1.2183865616927858,5.29,-1.41,3.2
" Joke 36   A guy walks into a bar, orders a beer and says to the bartender,""Hey, I got this great Polish Joke..."" The barkeep glares at him and says in a warning tone of voice:""Before you go telling that joke you better know that I'm Polish, bothbouncers are Polish and so are most of my customers""""Okay"" says the customer,""I'll tell it very slowly."" ",situational,bar,insult,irony,,3.35,3.83,1.4438703040879368,5.24,-0.97,3.35
" Joke 37   A Jewish young man was seeing a psychiatrist for an eating andsleeping disorder. ""I am so obsessed with my mother... As soon as I go to sleep, I startdreaming, and everyone in my dream turns into my mother. I wake up insuch a state, all I can do is go downstairs and eat a piece of toast.""The psychiatrist replies:""What, just one piece of toast, for a big boy like you?""",situational,irony,disease,,,-1.6,0.2469945969373606,-0.8561029305351666,1.608018336433159,-2.8626750459197825,-0.05
" Joke 38   ""May I take your order?"" the waiter asked. ""Yes, how do you prepare your chickens?"" ""Nothing special sir,"" he replied. ""We just tell them straight outthat they're going to die.""",situational,language,,,,0.63,1.773320972495566,0.5063626391622323,3.3,-1.4344845830599897,1.6539668058288994
 Joke 39   What is the difference between men and women:A woman wants one man to satisfy her every need.A man wants every woman to satisfy his one need.,question,sex,gender,,,-0.19,1.6910889166454082,0.4636665028523048,3.1175676964862573,-1.967791830481028,1.46
" Joke 40   How many Irishmen does it take to change a lightbulb?Two, one to hold the lightbulb and the other to drink until the room spins. ",question,lightbulb,insult,,,0.19,1.584256264345079,0.34,3.067437067916508,-1.8997951190541307,1.4090639566527714
"  A Joke    What does an atheist say during an orgasm?""Oh Darwin! Oh Darwin!...""",question,sex,religion,,,-1.75,0.7991463361431567,-0.31731199719017655,2.289285225032046,-2.556843247190176,0.5201880028098237
"  A Joke    Two men are discussing the age old question: who enjoys sex more, theman or the woman?  A woman walks by and listens in for awhile and theninterrupts: ""Listen you guys. You know when your ear itches and you put in your little finger and wiggle it around for awhile?  Afterward,which feels better, your finger or your ear?""",situational,sex,,,,0.7952392815953441,2.170030948262011,0.8021837260397884,3.6734684482620104,-1.65,2.04
"  A Joke    Arnold Swartzeneger and Sylvester Stallone are making a movie aboutthe lives of the great composers.  Stallone says ""I want to be Mozart."" Swartzeneger says: ""In that case...  I'll be Bach.""",situational,movies,pun,,,-1.31,0.5652941039931445,-0.5124943575453176,1.967700521105444,-2.676680685922822,0.3149403304082388
"  A Joke    A horse walks into a bar. Bartender says:""So, why the long face?""",situational,bar,language,,,-1.99,-0.08635465639390427,-1.1438762081180422,1.26,-3.0750317232356235,-0.38211484448167865
"  A Joke    A boy comes home from school and tells his mother that he got a partin the school play.  ""What part?"" the mother asked. ""I play a Jewishhusband,"" the boy replied.  ""Go back to school and tell your teacher that you want a speaking role!""",situational,insult,jew,,,0.34038094128330565,1.6363809412833057,0.3908994598018244,3.0721413579499726,-1.7737996142722494,1.4629761793785439
"  A Joke    A couple has been married for 75 years. For the husband's 95thbirthday, his wife decides to surprise him by hiring a prostitute.That day, the doorbell rings. The husband uses his walker to get tothe door and opens it. A 21-year-old in a latex outfit smiles andsays, ""Hi, I here to give you super sex!"" The old man says, ""I'll take the soup.""",situational,disease,sex,,,0.63,1.8369090530395038,0.5844405656445462,3.3059028418593797,-1.6206901533097022,1.75
"  A Joke    There was an engineer who had an exceptional gift for fixing all things mechanical.  After serving his company loyally for over 30 years, he happily retired.  Several years later the company contacted him regarding a seemingly impossible problem they were having with one of their multi-million dollar machines. They had tried everything and everyone else to get the machine fixed, but to no avail.  In desperation, they called on the retired engineer who had solved so many of their problems in the past.The engineer reluctantly took the challenge.  He spent a day studying the huge machine.  At the end of the day, he marked a small ""x"" in chalk on a particular component of the machine and proudly stated, ""This is where your problem is"".The part was replaced and the machine worked perfectly again. The company received a bill for $50,000 from the engineer for his service.They demanded an itemized accounting of his charges. The engineer responded briefly:One chalk mark                       $1 Knowing where to put it            $49,999It was paid in full and the engineer retired again in peace. ",situational,smart,,,,0.5904875020577911,1.856889103888455,0.5805021906594365,3.279600726695472,-1.5248486780664319,1.6979107757150802
"  A Joke    The graduate with a Science degree asks, ""Why does it work?""The graduate with an Engineering degree asks, ""How does it work?""The graduate with an Accounting degree Asks, ""How much will it cost?"" The graduate with a  Liberal Arts degree asks, ""Do you want fries with  that?""",situational,insult,jobs,,,1.26,2.0846777315016425,0.7031030561769671,3.679990884584192,-1.46,1.9585329503568614
"  A Joke    Three engineering students were gathered together discussing thepossible designers of the human body.  One said, ""It was a mechanical engineer. Just look at all the joints.""  Another said, ""No, it was an electrical engineer.  The nervous systems many thousands of electricalconnections.""  The last said, ""Actually it was a civil engineer. Who else would run a toxic waste pipeline through a recreational area?""",situational,insult,science,,,2.18,2.9502804181405433,1.1057804181405433,4.61,-1.0962410750721265,2.622988751473877
"  A Joke    A guy goes into confession and says to the priest, ""Father, I'm 80 yearsold, widower, with 11 grandchildren. Last night I met two beautiful flightattendants. They took me home and I made love to both of them. Twice.""The priest said: ""Well, my son, when was the last time you were inconfession?"" ""Never Father, I'm Jewish."" ""So then, why are you telling me?"" ""I'm telling everybody.""",situational,irony,jew,,,4.03,4.56,1.84,5.78,-0.73,3.98
  A Joke    Did you hear that Clinton has announced there is a new national bird?  The spread eagle.,question,america,sex,language,,-3.25,0.598078401870437,-0.48177667059333085,2.0190700685371032,-3.2019736814628965,0.24666814546018062
  A Joke    Q: What do Monica Lewinsky and Bob Dole have in common?A: They were both upset when Bill finished first.,question,america,sex,language,politics,-2.43,0.9630757663582901,-0.1843165781393179,2.38,-2.9475171128986757,0.6306834218606824
"  A Joke    One Sunday morning William burst into the living room and said,""Dad! Mom! I have some great news for you! I am getting marriedto the most beautiful girl in town. She lives a block away andher name is Susan.""After dinner, William's dad took him aside. ""Son, I have to talkwith you. Your mother and I have been married 30 years.. She's awonderful wife but she has never offered much excitement in thebedroom, so I used to fool around with women a lot. Susan isactually your half-sister, and I'm afraid you can't marry her.""William was heart-broken. After eight months he eventuallystarted dating girls again. A year later he came home and veryproudly announced, ""Dianne said yes! We're getting married inJune.""Again his father insisted on another private conversation andbroke the sad news. ""Dianne is your half-sister too, William. I'mawfully sorry about this.""William was furious! He finally decided to go to his mother withthe news.""Dad has done so much harm.. I guess I'm never going to getmarried,""  he complained. ""Every time I fall in love, Dad tellsme the girl is my half-sister.""His mother just shook her head. ""Don't pay any attention to whathe says, dear. He's not really your father.""",situational,sex,relationship,,,2.52,3.83,1.3696021548305009,5.05,-1.36,3.16
"  A Joke    The Pope dies and, naturally, goes to heaven. He's met by the receptioncommittee, and after a whirlwind tour he is told that he can enjoy anyof the myriad of recreations available.He decides that he wants to read all of the ancient original text of theHoly Scriptures, so he spends the next eon or so learning languages.After becoming a linguistic master, he sits down in the library andbegins to pour over every version of the Bible, working back from mostrecent ""Easy Reading"" to the original script.All of a sudden there is a scream in the library. The Angels comerunning in only to find the Pope huddled in his chair, crying to himselfand muttering, ""An 'R'! The scribes left out the 'R'."" A particularly concerned Angel takes him aside, offering comfort, askshim what the problem is and what does he mean. After collecting hiswits, the Pope sobs again, ""It's the letter 'R'. They left out the 'R'.The word was supposed to be CELEBRATE!""",situational,religion,,,,2.04,2.7368658669451946,1.1480774054067329,4.22,-0.97,2.62
"  A Joke    A woman has twins, and gives them up for adoption.  One ofthem goes to a family in Egypt and is named ""Amal.""  The other goes toa  family in Spain; they name him ""Juan.""  Years later, Juan sends apicture of himself to his mom.  Upon receiving the picture, she tellsher husband that she wishes she also had a picture of Amal.  Her husband responds, ""But they are twins-if you've seen Juan, you'veseen   Amal.",situational,irony,,,,-0.1,1.2499715577023112,0.09858898194473564,2.697727239520493,-1.9354866009911413,1.0999023877418368
"  A Joke    A man and Cindy Crawford get stranded on a desert island.  After a coupleof days they fall in love and start sleeping together.  Time pass theman seems frustrated, Cindy asks if there is anything she can do?  Hesays there is one thing, ""Could you put on this baseball cap and go tothe other side of the island and answer me when I call you Bob?""  Sheagrees.  Next day he is walking on the other side of the island, runsinto her and says ""Hi Bob!""  She says ""Hello, what's up?""  He replies: ""Bob you won't believe it: I've been sleeping with CindyCrawford for the past two weeks!!!!""",situational,sex,irony,,,1.02,2.09,0.6916017547531245,3.621442441027634,-1.65,1.9410135194590068
  A Joke    Why are there so many Jones's in the phone book?Because they all have phones.,question,,,,,-1.84,-0.03622141196335704,-1.1073805028724482,1.3390805360885907,-3.021534595023466,-0.30493295042489543
"  A Joke    How many teddybears does it take to change a lightbulb?It takes only one teddybear, but it takes a whole lot of lightbulbs.",question,lightbulb,,,,-4.76,-0.9938726113183614,-2.0315814829807217,0.33023730008806174,-4.124871243329306,-1.46
"  A Joke    The Chukcha (Russian Eskimo) phones up the Russian Parliament Building.  A guard answers. Chukcha:  ""What is required to become Parliament member?""Guard:  ""What are you, an idiot?""Chukcha:  ""Is it required?""",situational,language,politics,,,-1.36,0.73,-0.39,2.18,-2.72,0.4295211620433831
  A Joke    What did the Buddhist say to the hot dog vendor?Make me one with everything.,question,religion,language,,,-0.29,0.7664140612410459,-0.359746511095997,2.1684210605480456,-2.218580702272468,0.5674460022729871
"  A Joke    During a recent publicity outing, Hillary sneaked off to visit afortune teller of some local repute.  In a dark and hazy room, peeringinto a crystal ball, the mystic delivered grave news.""There's no easy way to say this, so I'll just be blunt: Prepareyourself to be a widow.  Your husband will die a violent and horribledeath this year.""Visibly shaken, Hillary stared at the woman's lined face, then at the single flickering candle, then down at her hands.  She took a few deep breaths to compose herself.  She simply had to know.  She met thefortune teller's gaze, steadied her voice, and asked her question.""Will I be acquitted?""",situational,crime,america,politics,,1.26,2.48,0.97,4.076574947662647,-1.2989011887686455,2.257573995054883
"  A Joke    A group of  managers were given the assignment to measure theheight of a flagpole. So they go out to the flagpole with laddersand tape measures, and they're falling off the ladders, droppingthe tape measures - the whole thing is just a mess.An engineer comes along and sees what they're trying to do,walks over, pulls the flagpole out of the ground, lays it flat,measures it from end to end, gives the measurement to one of themanagers and walks away.After the engineer has gone, one manager turns to another andlaughs. ""Isn't that just like an engineer, we're looking for the height and he gives us the length.""",situational,jobs,,,,2.72,3.3,1.12,5.1,-0.9925213104809822,2.91
"  A Joke    An engineer, a physicist and a mathematician are sleeping in aroom. There is a fire in the room. The engineer wakes up, sees the fire,picks up the bucket of water and douses the fire and goes back tosleep. Again there is fire in the room. This time, the physicist wakesup, notices the bucket, fills it with water, calculates the optimaltrajectory and douses the fire in minimum amount of water and goesback to sleep. Again there is fire. This time the mathematician wakes up. He looks at the fire, looks at the bucket and the water andexclaims, ""A solution exists"" and goes back to sleep.",situational,jobs,,,,-0.29,1.1492037218690339,-0.058036014201347186,2.578012434815851,-2.38,0.9158122658969328
  A Joke    What is the rallying cry of the International Dyslexic Pride movement?Dyslexics Untie!,question,disease,language,,,-0.68,0.6167106464375904,-0.4929768535624095,2.014597551199495,-2.520428767690297,0.36068791916486315
"  A Joke    Two Rednecks were seated at the end of a bar when a young ladyseated a few stools up began to choke on a piece of hamburger.  She wasturning blue and obviously in serious respiratory distress.One said to the other, ""That gal there is having a bad time!"" The other agreed and said ""Think we should go help?""  ""You bet,"" said thefirst,and with that, he ran over and said, ""Can you breathe??""  She shookher head no.  He said, ""Can you speak??""  She again shook her head no.With that, he pulled up her skirt and licked her on the butt.She was so shocked, she coughed up the obstruction and began tobreathe-with great relief.The redneck walked back to hisfriend and said, ""Funny how that hind lick maneuver always works.""",situational,language,redneck,,,1.1505447164677054,2.5805644793135554,1.040348029097105,3.905348029097105,-1.7320040367292258,2.4377099338590096
"  A Joke    A lawyer opened the door of his BMW, when suddenly a car came alongand hit the door, ripping it off completely.  When the police arrivedat the scene, the lawyer was complaining bitterly about the damage tohis precious BMW.  ""Officer, look what they've done to my Beeeeemer!!!"", he whined.  ""You lawyers are so materialistic, you makeme sick!!!""  retorted the officer.  ""You're so worried about yourstupid BMW, that you didn't even notice that your left arm was rippedoff!!!""  ""Oh my gaaaad..."", replied the lawyer, finally noticing thebloody left shoulder where his arm once was.  ""Where's myRolex???!!!!""",situational,jobs,insult,,,1.84,2.86,1.0750757330255378,4.56,-1.02,2.562895281897718
"  A Joke    Once upon a time, two brooms fell in love and decided to get married.Before the ceremony, the bride broom informed the groom broom that she was expecting a little whiskbroom. The groom broom was aghast!""How is this possible?"" he asked. ""We've never swept together!",situational,surreal,language,,,-1.7,0.5275282925479384,-0.5371277921081461,1.94,-2.686763374118728,0.2634092449288911
"  A Joke    A man piloting a hot air balloon discovers he has wandered off course andis hopelessly lost. He descends to a lower altitude and locates a mandown on the ground. He lowers the balloon further and shouts ""Excuse me,can you tell me where I am?""The man below says: ""Yes, you're in a hot air balloon, about 30 feetabove this field.""""You must work in Information Technology,"" says the balloonist.""Yes I do,"" replies the man. ""And how did you know that?""""Well,"" says the balloonist, ""what you told me is technically correct,but of no use to anyone.""The man below says, ""You must work in management.""""I do,"" replies the balloonist, ""how did you know?""""Well,"" says the man, ""you don't know where you are, or where you'regoing, but you expect my immediate help. You're in the same position youwere before we met, but now it's my fault!""",situational,jobs,insult,,,2.09,2.82,1.0191350136130803,4.42,-1.0523803316554625,2.57
"  A Joke    This guys wife asks, ""Honey if I died would you remarry?"" and he replies,""Well, after a considerable period of grieving, we all needcompanionship, I guess I would.""She then asks, ""If I died and you remarried, would she live in thishouse?"" and he replies, ""We've spent a lot of time and money getting thishouse just the way we want it. I'm not going to get rid of my house, Iguess she would.""""If I died and you remarried, and she lived in this house, would shesleep in our bed?"" and he says, ""That bed is brand new, we just paid twothousand dollars for it, it's going to last a long time, I guess shewould.""So she asks, ""If I died and you remarried, and she lived in this house,and slept in our bed, would she use my golf clubs?""""Oh no, she's left handed.""",situational,irony,relationship,,,1.84,2.82,1.0287264498489819,4.32,-1.41,2.57
"  A Joke    Employer to applicant: ""In this job we need someone who is responsible.""Applicant: ""I'm the one you want. On my last job, every time anythingwent wrong, they said I was responsible.""",situational,language,jobs,irony,,-0.49,1.3164609316909655,0.16773724748043906,2.72,-2.09,1.1192599747531666
"  A Joke  At a recent Sacramento PC Users Group meeting,a company was demonstrating its latest speech-recognition software.   A representative from thecompany was just about ready to start thedemonstration and asked everyone in the roomto quiet down.Just then someone in the back of the room yelled,""Format C: Return.""Someone else chimed in:""Yes, Return""Unfortunately, the software worked.",situational,technology,,,,-0.16300806765632214,0.7088853854887359,-0.4622350413405323,1.8375422022492112,-1.8940982659782135,0.42942279764251845
"  A Joke  On the first day of college, the Dean addressed the students,pointing out some of the rules:""The female dormitory will be out-of-bounds for all male studentsand the male dormitory to the female students. Anybody caught breakingthis rule will be finded $20 the first time."" He continued, ""Anybody caught breaking this rule the second time will be fined $60. Being caughta third time will cost you a fine of $180. Are there any questions ?""At this point, a male student in the crowd inquired:""How much for a season pass ?""",situational,irony,men,,,1.7792314448274225,2.6058216274758244,1.393478020169888,3.713273926326399,-0.02218128627708915,2.4202119783530174
"  A Joke  Q: What is the difference between George  Washington, Richard Nixon,and Bill Clinton?A: Washington couldn't tell a lie, Nixon couldn't   tell the truth, andClinton doesn't know the difference.",question,america,politics,,,0.7858974963227975,1.7156891629894644,0.5388141629894645,2.845734035885377,-0.9024358370105359,1.4695284487037499
"  A Joke  Q: How many stalkers does it take to change a light bulb?A: Two. One to replace the bulb, and the other to watch it day and night.",question,lightbulb,crime,,,-0.5591589264051515,0.3872696450234197,-0.7495966014751798,1.5317866093091337,-2.2374645270545024,0.07578154978532436
  A Joke  Q: Do you know the difference between an intelligent male and theSasquatch?A: There have been actual reported sightings of the Sasquatch.,question,men,insult,,,0.06082088328408952,0.975330339548865,-0.1798680731495479,2.1086003334438583,-1.6212231016474337,0.7083581173266426
"  A Joke  There once was a man and a woman that both  got in  a terrible car wreck. Both of their vehicles  were completely destroyed, buy fortunately, no one  was   hurt.  In thankfulness, the woman said to the man, 'We are both okay, so we should celebrate. I have   a  bottle of wine in my car, let's open it.'         So the woman got the bottleout of the car, and  handed it to the man. The man took a really big drink, and handed the woman the bottle. The  woman  closed the bottle and put it down. The man  asked,  'Aren't you going to take a drink?' The woman cleverly replied, 'No, I think I'll  just  wait for the cops to get here.'",situational,men,crime,,,1.6214426258432906,2.4375413100538172,1.2406433834190485,3.5496044688525656,-0.14847626130404445,2.254802319720842
  A Joke  If pro- is the opposite of con- then congress must be the oppositeof progress.,politics,insult,,,,0.6414708012688946,1.553109995408089,0.3683433287414221,2.6804854483066394,-1.0617905727737296,1.3015147573128505
  A Joke  Q: What's the difference between the government  and  the Mafia?A: One of them is organized.,question,politics,insult,,,1.20069391995452,2.080078589434126,0.8767494755100756,3.207798086621187,-0.5512505244899244,1.8619161421767423
"  A Joke  Q: Ever wonder why the IRS calls it Form 1040?A: Because for every $50 that you earn, you get 10 and they get 40.",question,politics,insult,,,0.1658752061189761,1.144104079358413,-0.016445920641586786,2.288318719556924,-1.5035171327627987,0.87
